file,kind,detail
L_68205.xml,unresolved-entity-key,Poetry
L_68205.xml,unresolved-entity-key,Ernest Fenollosa
L_68205.xml,unresolved-entity-key,Eugene Paul Ullman
L_68205.xml,unresolved-entity-key,Henri Gaudier-Brzeska
L_68205.xml,unresolved-entity-key,Pound/Joyce
L_68205.xml,unresolved-entity-key,Pound/Joyce
L_68205.xml,unresolved-entity-key,JJ
L_68205.xml,unresolved-entity-key,Pound/Joyce
L_68205.xml,unresolved-entity-key,JJ
L_68205.xml,unresolved-entity-key,Henry James
L_68205.xml,unresolved-entity-key,Joseph Conrad
L_68205.xml,unresolved-entity-key,D.H. Lawrence
L_68205.xml,unresolved-entity-key,Katherine Mansfield
L_68205.xml,unresolved-entity-key,Dorothy Richardson
L_68205.xml,unresolved-entity-key,Dubliners
L_68205.xml,unresolved-entity-key,A Portrait of the Artist as a Young Man
L_68205.xml,unresolved-entity-key,Egoist
L_68205.xml,unresolved-entity-key,Exiles: A Play in Three Acts
L_68205.xml,unresolved-entity-key,Exiles
L_68205.xml,unresolved-entity-key,Dubliners
L_68205.xml,unresolved-entity-key,Countess Cathleen
L_68205.xml,unresolved-entity-key,The Countess Cathleen
L_68205.xml,unresolved-entity-key,Tragedie Irlandesi di William Butler Yeats
L_68205.xml,unresolved-entity-key,Stephen Hero
L_68205.xml,unresolved-entity-key,The Countess Cathleen
L_68205.xml,unresolved-entity-key,LI
L_68205.xml,unresolved-entity-key,LI
L_68205.xml,unresolved-entity-key,J.M. Synge
L_68205.xml,unresolved-entity-key,Riders to the Sea
L_68205.xml,unresolved-entity-key,La Cavalcata al Mare
L_68205.xml,unresolved-entity-key,Solaria
L_68210.xml,unresolved-entity-key,Pound/Joyce
L_68210.xml,unresolved-entity-key,Eva
L_68210.xml,unresolved-entity-key,Bozena Berta (Beatrice Bertha)
L_68210.xml,unresolved-entity-key,Eleanora (Nora)
L_68210.xml,unresolved-entity-key,Studies in Bibliography
L_68210.xml,unresolved-entity-key,LII
L_68210.xml,unresolved-entity-key,George Jean Nathan
L_68210.xml,unresolved-entity-key,LI
L_68210.xml,unresolved-entity-key,Willard Huntington Wright
L_68210.xml,unresolved-entity-key,LII
L_68210.xml,unresolved-entity-key,LI
L_68217.xml,unresolved-entity-key,Dubliners
L_68217.xml,unresolved-entity-key,Flaubert
L_68217.xml,unresolved-entity-key,the Egoist Ltd. of London
L_68217.xml,unresolved-entity-key,Pound/Joyce
L_68224.xml,unresolved-entity-key,influential pupils
L_68224.xml,unresolved-entity-key,LI
L_68224.xml,unresolved-entity-key,New York Times
L_68224.xml,unresolved-entity-key,New York Times
L_68224.xml,unresolved-entity-key,New York Evening World
L_68224.xml,unresolved-entity-key,LI
L_68224.xml,unresolved-entity-key,LII
L_68224.xml,unresolved-entity-key,Studies in Bibliography
L_68224.xml,unresolved-entity-key,The Egoist Press
L_68224.xml,unresolved-entity-key,Shakespeare and Company
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,Pound/Joyce
L_68232.xml,unresolved-entity-key,the Royal Literary Fund
L_68232.xml,unresolved-entity-key,JJ
L_68232.xml,unresolved-entity-key,LII
L_68232.xml,unresolved-entity-key,Poetry
L_68232.xml,unresolved-entity-key,the War Office
L_68232.xml,unresolved-entity-key,Pound/Joyce
L_68232.xml,unresolved-entity-key,the Scuola Superiore di Commercio Revoltella
L_68232.xml,unresolved-entity-key,Pound/Joyce
L_68232.xml,unresolved-entity-key,LII
